"header__reqNo","header__resultCode","header__resultMsg","body__items__item__desertionNo","body__items__item__filename","body__items__item__happenDt","body__items__item__happenPlace","body__items__item__kindCd","body__items__item__colorCd","body__items__item__age","body__items__item__weight","body__items__item__noticeNo","body__items__item__noticeSdt","body__items__item__noticeEdt","body__items__item__popfile","body__items__item__processState","body__items__item__sexCd","body__items__item__neuterYn","body__items__item__specialMark","body__items__item__careNm","body__items__item__careTel","body__items__item__careAddr","body__items__item__orgNm","body__items__item__chargeNm","body__items__item__officetel","body__items__item__noticeComment","body__numOfRows","body__pageNo","body__totalCount"
"32069376","00","NORMAL SERVICE.","444450202101068","http://www.animal.go.kr/files/shelter/2021/12/202201041101258_s.jpg","20211231","공주시 우금티터널","[개] 믹스견","갈색","2019(년생)","5(Kg)","충남-공주-2022-00001","20220104","20220117","http://www.animal.go.kr/files/shelter/2021/12/202201041101258.png","종료(반환)","M","N","파란색목줄착용, 겁이많음,진드기, 털엉킴, 치석증, 심장사상충감염의심","공주시 동물보호소","041-853-7575","충청남도 공주시 감영길 7 (반죽동) ","충청남도 공주시","축산유통팀","041-840-8580","","200","1","8309"
"","","","441559202101292","http://www.animal.go.kr/files/shelter/2021/12/202201031501804_s.jpg","20211231","장흥면 유원지로 89번길 90 인근","[개] 말티즈","흰","2020(년생)","3.2(Kg)","경기-양주-2022-00005","20220104","20220114","http://www.animal.go.kr/files/shelter/2021/12/202201031501804.jpg","종료(입양)","M","Y","부정교합. 코갈색. 낑낑댐/사람좋아함. 꼬리단미안됨. 털상태 양호.","한국동물구조관리협회","031-867-9119","경기도 양주시 남면 감악산로 63-37 (남면) ","경기도 양주시","양주시 동물보호팀","031-8082-7361","","","",""
"","","","426328202100505","http://www.animal.go.kr/files/shelter/2021/12/202201040901435_s.jpg","20211231","영도 동물병원","[개] 푸들","흰색","2020(년생)","3.2(Kg)","부산-영도-2022-00001","20220104","20220114","http://www.animal.go.kr/files/shelter/2021/12/202201040901435.jpg","종료(반환)","M","N","파란색 옷 착용","하얀비둘기","051-293-9779","부산광역시 강서구 제도로 726 (강동동) ","부산광역시 영도구","유혜정","051-419-6211","","","",""
"","","","411306202100780","http://www.animal.go.kr/files/shelter/2021/12/202201031501688_s.jpg","20211231","동일로 140길 33 인근","[고양이] 한국 고양이","검","2020(년생)","2.8(Kg)","서울-중랑-2022-00002","20220104","20220124","http://www.animal.go.kr/files/shelter/2021/12/202201031501688.jpg","종료(자연사)","F","U","구강질환. 기립불능. 기력없음. 저체온. 털상태불량.","한국동물구조관리협회","031-867-9119","경기도 양주시 남면 감악산로 63-37 ","서울특별시 중랑구","김가희","02-2094-0753","","","",""
"","","","450650202105368","http://www.animal.go.kr/files/shelter/2021/12/202201030901648_s.jpg","20211231","제주시 삼도일동 서사로 4길 3","[고양이] 한국 고양이","회색","2021(년생)","3.2(Kg)","제주-제주-2022-00011","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201030901648.jpg","종료(입양)","F","N","개체관리번호 21854 - 임시보호","제주 동물보호센터","064-710-4065","제주특별자치도 제주시 첨단동길 184-14 (용강동) ","제주특별자치도","제주동물보호센터","064-710-4065","","","",""
"","","","450650202105367","http://www.animal.go.kr/files/shelter/2021/12/20220103090147_s.jpg","20211231","제주시 도련일동 1636","[고양이] 한국 고양이","갈색","2022(년생)","1.1(Kg)","제주-제주-2022-00010","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/20220103090147.jpg","종료(기증)","F","N","개체관리번호 21853 - 2개월/꼬리,좌후지다침","제주 동물보호센터","064-710-4065","제주특별자치도 제주시 첨단동길 184-14 (용강동) ","제주특별자치도","제주동물보호센터","064-710-4065","","","",""
"","","","450650202105366","http://www.animal.go.kr/files/shelter/2021/12/20220103090169_s.jpg","20211231","제주시 구좌읍 김녕로 101","[고양이] 한국 고양이","흰갈","2020(년생)","3.6(Kg)","제주-제주-2022-00009","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/20220103090169.jpg","종료(자연사)","M","N","개체관리번호 21852 - 교통사고/경계심","제주 동물보호센터","064-710-4065","제주특별자치도 제주시 첨단동길 184-14 (용강동) ","제주특별자치도","제주동물보호센터","064-710-4065","","","",""
"","","","450650202105365","http://www.animal.go.kr/files/shelter/2021/12/202201030901483_s.jpg","20211231","제주시 해안동 해안마을 8길 17","[개] 믹스견","검흰","2022(년생)","10.4(Kg)","제주-제주-2022-00008","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201030901483.jpg","종료(반환)","F","N","개체관리번호 4592 - 4개월","제주 동물보호센터","064-710-4065","제주특별자치도 제주시 첨단동길 184-14 (용강동) ","제주특별자치도","제주동물보호센터","064-710-4065","","","",""
"","","","450650202105364","http://www.animal.go.kr/files/shelter/2021/12/202201030901771[1]_s.jpg","20211231","제주시 봉개동 노루손이북길 6","[개] 믹스견","흰색","2022(년생)","10(Kg)","제주-제주-2022-00007","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201030901771[1].jpg","종료(반환)","F","N","개체관리번호 4591 - 10개월","제주 동물보호센터","064-710-4065","제주특별자치도 제주시 첨단동길 184-14 (용강동) ","제주특별자치도","제주동물보호센터","064-710-4065","","","",""
"","","","450650202105363","http://www.animal.go.kr/files/shelter/2021/12/202201030901129_s.jpg","20211231","제주시 조천읍 조천리 2714 -5","[개] 믹스견","갈검","2020(년생)","24(Kg)","제주-제주-2022-00006","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201030901129.jpg","종료(반환)","M","N","개체관리번호 4590 - 체인착용","제주 동물보호센터","064-710-4065","제주특별자치도 제주시 첨단동길 184-14 (용강동) ","제주특별자치도","제주동물보호센터","064-710-4065","","","",""
"","","","450650202105362","http://www.animal.go.kr/files/shelter/2021/12/202201030901510_s.jpg","20211231","제주시 건입동 사라봉 7길 11","[개] 믹스견","흰색","2018(년생)","20(Kg)","제주-제주-2022-00005","20220103","20220113","http://www.animal.go.kr/files/shelter/2021/12/202201030901510.jpg","종료(안락사)","M","N","개체관리번호 4589 - 심장사상충/빨노목줄/경계심","제주 동물보호센터","064-710-4065","제주특별자치도 제주시 첨단동길 184-14 (용강동) ","제주특별자치도","제주동물보호센터","064-710-4065","","","",""
